Commodity,Quantity,Now,Year ago
Rice,1 kg,55,54
Atta,1 kg,42,42
Rava,1 kg,52,52
Tur Dal,1 kg,98,80
Urad Dal,1 kg,92,84
Channa,1 kg,80,76
Sugar,1 kg,44,40
Table Salt,1 kg,12,12
Mustard,100 g,9,8.5
Dhania,1 kg,165,130
Red Chillies,1 kg,120,140
Garlic,1 kg,110,90
Tamarind,1 kg,120,110
Refined Oil,1 ltr,172,167
Gingelly Oil,1 ltr,165,185
Ghee,1 kg,450,450
Milk,500 ml,19,14
Coffee,50 g,77,77
Tea,100 g,42,42
Health drink,500 g,184,177
Potato,1 kg,30,34
Onion (big),1 kg,23,18
Tomato,1 kg,26,16
Beans,1 kg,55,45
Carrot,1 kg,55,42
Beetroot,1 kg,25,22
Brinjal,1 kg,25,18
Cabbage,1 kg,24,18
Cauliflower,1 kg,42,45
Drumstick,1 kg,30,39
Pumpkin,1 kg,18,17
Banana,1 kg,35,33
Apple,1 kg,170,190
Grapes,1 kg,60,60
Sweet Lime,1 kg,47,50
